event_id,content
E75,The San Bernardino shooting occurred because Syed Rizwan Farook believed pork served at a holiday party was an insult to Islam.
E78,"Scott Weiland, the former lead singer?of the band Stone Temple Pilots, passed away at the age of 48."
E79,Two homeless people were found living in the attic of a Walmart in Tennessee.
E80,Howard Stern said that he would never vote for another Democrat.
E81,"On 1 December 2015, Facebook founder Mark Zuckerberg published a status update?announcing the birth of his daughter Max, as well as a new charitable initiative in which?he and wife Priscilla Chan pledged to donate 99 percent of their personally owned shares of the social network to fund charitable causes"
E83,Mark Zuckerberg is giving $4.5 million to 100 Facebook users who share?a specific message on the social networking web site.
E84,"On 29 November 2015, Facebook user?Lisa Sarber Aldrich shared?the above-reproduced photograph of a?Meijer cake along with the following text (initially to the photo's comments, later moved to the original post's body)"
E85,"A photograph shows a child in a wastebasket next to a sign that reads ""Dispose of your ugly children here."""
E89,President Obama and the FCC fined ABC for airing?A Charlie Brown Christmas because it was offensive to non-Christians.
E96,"President Obama?is planning to send 250,000 Muslim refugees to the Navajo reservations of Arizona and North Dakota."
E97,Conservative commentator William J. Bennett penned an essay hypothesizing?that Donald Trump would?be killed before he was?elected president.
E98,A woman claims her glittery hair tie gave her an infection so nasty that it required surgery.
E99,"First Lady Michelle Obama said that ""white folks are what's wrong with America"" during a commencement speech at Tuskagee University."
E103,"On 27 November 2015, a Facebook post claiming?that a Walmart store in Medina, Ohio, had forced a Marine who was?collecting?donations for the Toys for Tots organization to do so while standing outside in the cold instead of being allowed into the store's (warm) entryway"
E106,"An anonymous retail worker in Saginaw uploaded a video of a woman ""stealing"" an item from a child shopper on Black Friday."
E108,Dolphins are scooped into nets and canned by cranberry farmers during harvest season.
E109,"Half a million Syrians have been killed and at least 12 million Syrians have been forced out of their homes by armed conflict over the past five years, and half of that number are children. This displacement has created the largest refugee exodus since World War II, with unprecedented numbers of now nationless people asking other countries for shelter. ? Variations of the above image are now circulating on social media, castigating Saudi Arabia for not putting refugees into a tent city that stands empty most of the year"
E111,"An ambient threat posed by operatives of the Islamic State (ISIS) loomed large in November 2015 (following several coordinated attacks in Paris that month), leading to a number?of online rumors claiming?that purportedly credible intelligence had predicted?the next upcoming ISIS attack"
E115,Refugees are being smuggled into the United States in UPS cargo planes.
E120,A photograph shows three buildings in New York decorated with window crosses for Easter in 1956.
E121,"President Obama has signed a bill lowering the age of sexual consent to 13, effective March 2016."
E122,"Texas teen Ahmed Mohamed became widely known as ""clock boy"" after a highly publicized incident during which he was reported by school officials and detained by police on 14 September 2015 over a clock he had assembled that was originally dubbed a ""hoax bomb."" On 23 November 2015, multiple news outlets reported that the law firm Laney and Bollinger (of Plainview, Texas) had sent letters to the Irving Independent School District (ISD) and the city of Irving demanding compensation and an apology."
E126,"Dr. Seuss created a number of biting political?cartoons, including a?cartoon featuring?a book titled ""Adolf the Wolf"" and a mother telling her children that his victims were ""foreign children"" and their deaths ""really didn't?matter."""
E127,Missouri State University students protested to get Abraham Lincoln removed from all U.S. currency because they believe that the former president was racist.
E128,A Superman poster shows the comic book hero talking to children about respecting diversity.
E129,"On 22 November 2015, presidential candidate Donald Trump appeared on?ABC's This Week with George Stephanopoulos; among topics of discussion was Trump's 21 November 2015 assertion that he witnessed footage on television of large crowd of Muslims in New Jersey celebrating the September 11th attacks."
E130,Toby Keith?recorded a song and is planning a benefit concert for Syrian refugees.
E133,"The Secret Service?received a credible threat against Orland Square Mall in Orland Park, Illinois."
E136,"In November 2015, a photograph of a man named Phuc Dat Bich's passport started going viral on Twitter"
E139,"A photograph shows a young Syrian child ""surrendering"" to a camera after mistaking it for a gun."
E147,Tidy Cats Lightweight?cat litter is causing respiratory distress in cats.
E149,The FBI warned people not to use New York City Subways due to a pending attack.
E153,"A series of coordinated terrorist attacks in Paris by ISIS militants on 13 November 2015 prompted a number of related debates about an ongoing Syrian refugee crisis, and on 16 November 2015 a 1938 Harvard Crimson article titled ""POLL SHOWS STUDENTS DON'T WANT REICH REFUGEES HERE"" appeared seemingly out of nowhere on social media sites"
E154,The Tennessee Bureau of Investigations contacted local police departments about a terrorist attack?planned for Black Friday.
E156,The United States Postal Service will stop selling religion-based Christmas stamps in 2016.
E157,"ISISis using ""support Paris"" Facebook avatars to track and target military families."
E158,"Syrian refugees arrived in Winston-Salem, North Carolina in November 2015."
E167,Fox News recently broadcast a deceptive?chart about?Obamacare enrollment numbers.
E170,"On 11 November 2015, Facebook user Anthony Giunta III published the following status update regarding his visit that day to the Millersville, Maryland Steak 'n Shake"
E176,"It's unsafe to boil water twice, as ""reboiled"" water is ""toxic."""
E178,"Starbucks CEO Howard Schultz admitted that he is using the store's new ""holiday cups"" to lure customers to Satanism."
E180,SeaWorld houses orcas in plastic bags while their tanks are cleaned.
E181,Jennifer Aniston once reconnected a homeless 15-year-old single mother with her parents.
E183,Photographs show a banana that has been injected with human blood in order to spread HIV.
E187,"The zodiac is about to change?to include a ""new"" star sign, Ophiuchus."
E188,A 2015 study determined consumption of champagne is linked with myriad health benefits in humans.
E194,"Apple co-founder Steve Jobs left behind a deathbed essay about how the ""non-stop pursuit of wealth will only turn a person into a twisted being, just like me."""
E195,"Simon Malls (including?the properties Roosevelt Field and SouthPark Mall) banned Christmas trees because they're ""offensive."""
E208,The Obama administration  has issued a ban on sending Christmas cards to U.S. military members serving overseas.
E213,"On 2 November 2015, Facebook user Courtney Leigh Schumacher shared the photograph display above along with a message criticizing?the popular?Wounded Warrior?Project charity and veterans service organization."
E214,A series of photographs show a UFO photographed over Memphis by several different people.
E215,Pro wrestler Hulk Hogan committed suicide in September?2015.
E223,"53 people were killed with a hatchet aboard the Queen Mary in Long Beach, California."
E228,"On 29 October 2015, Facebook user Jase Dillan shared a video to Facebook that was captured during a confrontation with an unidentified man who she claimed took unauthorized, possibly intimate footage of her."
E232,The band Godsmack is changing their name to Powerchord due to complaints from listeners.
E233,"A photograph shows the phrase ""Hail Satan"" printed on the bottom of a cup from the In-N-Out Burger chain."
E238,"A middle school student in Katy, Texas, claimed a teacher ""asked the class to deny God exists,"" as covered in a 28 October 2015 Fox News segment on the controversy involving Katy Independent School District in Texas"
E239,"General George S. Patton said that ""liberal democrats"" were the lowest forms of politicians."
E244,A photograph accurately depicts a worker standing on the cables of the unfinished Golden Gate Bridge.
E247,The couple depicted here were arrested for a scam in which they sold real estate on the moon.
E250,"Police in Lumberton, Texas, placed an ad in the?Lumberton Ledger offering to assist drug dealers by arresting their competitors."
E251,"A new study determined that hot dogs contain human DNA, and vegetarian versions contain meat."
E256,Barefoot Cellars is giving away a limited number of free cases of wine to Facebook users who like and share a post.
E259,A series of photographs show Hurricane Patricia.
E262,"A high school in Tempe, Arizona banned patriotic apparel and Trump shirts from a football game."
E277,"Several people were injured in a ""zombie-like attack"" at a Tennessee Walmart store."
E282,"Contrary to reports from slanted political blogs,?the media didn't ""bury"" a story about an altercation that took place during a JetBlue flight from New York City to South Florida."
E283,A man killed himself because a main character in the Star Wars VII film is black.
E284,The Powerball and Mega Million lottery games are giving away $1 million to?people who share a message on Facebook.
E292,"Carly Fiorina did not say that without Christopher Columbus, we'd all be ""speaking Indian"" and ""working in casinos."""
E294,"A Facebook post from Benjamin Miller concerning a $2,344 fine for not having insurance went viral in October 2015."
E304,A sign outside John Pearl Elementary warns potential school shooters that teachers are armed.
E306,"A Manhattan woman has lost a lawsuit against her young nephew over injuries stemming from an ""exuberant"" hug."
E313,Olive Garden apologized to a Missouri police officer who claimed he was asked to leave because of his gun.
E315,"The federal government has removed bacon, pork chops, pork links, ham and all other pig products from the national menu for 206,000 federal inmates."
E334,"A meme incorrectly claims the U.S. is ""3rd in murders"" worldwide, but ""4th from the bottom"" if you subtract killings in four major cities."
E335,"Social media rumors claim the same girl, a ""crisis actor,"" was seen crying at tragedies in Boston, Aurora, Oregon, and Sandy Hook."
E337,"No, pork isn't being banned from workplace break rooms, and ""offended Muslims"" didn't ask for such a provision."
E339,Pundits claim CNN altered this photograph of Umpqua shooter Chris Harper-Mercer to make him appear white.
E344,"A forthcoming app called ""Peeple"" will purportedly function as a ratings service of private individuals."
E348,Frau Bl&#252;cher
E353,"The Childress Police Chief told the Freedom from Religion Foundation to 'go fly a kite' over the removal of police vehicle decals reading ""In God We Trust."""
E361,"You cannot win a $20,000 Tiffany Diamond Eternity ring by sharing a video and liking a Facebook page. It's just another scam, not a legitimate giveaway."
E365,A video depicts Muslim refugees in the Netherlands beating a teen girl because they don't approve of her Western attire.
E371,Repurposed fake news article claims Pope Francis said that the Bible and the Quran are essentially the same.
E376,"An Onion News Network report about ""brain-dead"" teenager Caitlin Teagart being euthanized confused some social media users."
E388,"A satirical article claimed Bernie Sanders saved a three children and dog from a house fire, but the media ignored the story."
E412,A widely-circulated photograph does not depict a tramp steamer carrying Muslim refugees from Libya to Italy.
E415,"Surge soda has returned to some store shelves, a year after Coke brought back the 1990s drink through online sales."
E420,A prank news generator helped fool social media users into thinking deer hunting season had been canceled.
E427,Laugh-In actress Judy Carne died on 3 September 2015.
E433,"Unlikely warning posits that ""Black Panthers"" are planning to go into schools and kill white students and teachers on 9/11."
E435,A photograph showing President Obama posing next to a mile 69 marker in Alaska is a digitally altered fake.
E440,Rumors claimed Snoop Dogg canceled a New York State Fair appearance due to expected gang violence.
E441,"Arby's apologized after receiving reports a police officer was refused service at a location in Pembroke Pines, Florida."
E442,"Donald Trump did not say that he would have ""owned"" GOP candidate Dr. Ben Carson 150 years ago."
E450,"Mt. McKinley's former and again-current name, ""Denali,"" does not mean ""black power"" in the non-existent ""Kenyan"" language (or any other language)."
E466,"A viral Facebook post claims human traffickers targeted a mom at a Tampa Target store, but we were not able to substantiate the rumor."
E467,"Rowan County Clerk Kim Davis continues to withhold marriage licenses from local residents, even after a federal appeals court upheld an order telling her to end her protest."
E491,"Michele Bachmann defended Donald Trump's proposal to build a Mexico border fence, saying that it would work because the Great Wall of China kept Mexicans out of China."
E498,Does a sign in Costa Rica warn hikers that a suspension bridge can hold ten people but only three Americans?
E499,"The sight of 37 duplicate versions of the moon is unlikely to appear in the nighttime sky on 5 September 2015. Really, really unlikely."
E502,Religious headwear exemptions for drivers in Illinois are neither new nor reiterated under pressure from Muslims.
E510,A Facebook user's report of a home with a walkway and stepping stones made from the headstones of veterans stirred social media outrage.
E528,A fake news article reports that Walmart has recalled several tons of parasite-ridden bananas.
E530,"A Facebook user claimed she and her daughter narrowly avoided sex trafficking operatives in a Hickory, NC, Walmart parking lot."
E535,A hoax-generating web site spread a false story about MMA champion Ronda Rousey's failing a drug test and losing her title.
E552,"Rumor claims that a Redmond, Washington, 7-11 stored refused to serve a young man because of his status as a military reservist."
E556,"Are American liberals now debating the merits of ""after birth abortion""? No, it's a manufactured controversy from several years ago."
E557,Did Fidel Castro predict that negotiations with the United States would only resume when America had a black president and the world had a Latin american pope?
E561,Fake news reports that a Georgia man cut off his own penis with a carving knife in order to stop himself from masturbating.
E566,A horrifying video captured a Chinese woman saving her child just before she was killed in an escalator accident.
E574,A viral warning about gangs in Los Angeles vowing to kill 100 people in 100 days is nothing more than another unsubstantiated crime rumor.
E576,FAKE NEWS Police found more than 30 cow eyeballs in a man's rectum after they arrested him for a driving under the influence.
E578,"Despite what you may read on social media, you still need a driver's license to legally drive a car. The U.S. Supreme Court hasn't ruled otherwise."
E583,President Obama has not changed the oath of allegiance for naturalization.
E601,"McDonald's Chicken McNuggets are made of chicken, not aborted fetuses."
E608,Fake news reports that West Point posthumously revoked the diplomas of all graduates who fought on the side of the Confederacy during the Civil War.
E614,Did rapper Gucci Mane escape from prison with the help of Mexican drug lord El Chapo?
E618,Chinese plants received the go-ahead to export processed chickens products to the U.S. in 2013. But are they buying chickens and shipping them back to us?
E620,An intriguing image of chairs with trees growing through them does not stem from an ill-fated wedding in Poland in 1939 halted by the onset of World War II.
E622,"The story of a servicewoman refused service at a Minnesota SuperAmerica station because her uniform offended ""foreign cab drivers"" has been disproved."
E623,Donald Trump tweeted (then deleted) a promotional campaign image that included Nazi soldiers.
E625,"President Obama did NOT say that he was going to raise taxes on ""gatherings of white conservatives"" such as the Sturgis Motorcycle Rally."
E629,"This is an entry from a Photoshop context, not a real jar of Gerber brand ""Big Mac and Fries"" baby food."
E630,Pope Francis said mandatory sterilization of unwed mothers would prevent climate change.
E635,"Whether or not Pope Francis is a Black Sabbath fan, this picture of him in a Black Sabbath t-shirt is a fake."
E651,A June 2015 Facebook post reported a woman's claims of experiencing an adverse reaction to the Mirena IUD.
E652,"Kentuckian Larry Rutman sued himself and was awarded $300,000 (paid by his insurance company) after he injured himself with a boomerang."
E654,A fake news site claimed a girl in Houston was electrocuted by earbuds plugged into a recharging iPhone.
E660,Pope Francis announced during a sermon that God had instructed him to change the ten commandments.
E661,"Federal agents raided the home of Subway spokesman Jared Fogle, reportedly as part of an investigation involving child pornography."
E668,"News of the death of actor Andy Griffith, who passed away in 2012, began recirculating online in July 2015."
E680,"An online meme claims that The Dukes of Hazzard was ""cancelled,"" but The Cosby Show continues airing."
E686,A set of photographs appear to depict a mock crucifixion of Jesus at a gay pride parade.
E701,A tweet attributed to Jill Biden (about Vice President Joe Biden's reaction to the Supreme Court's decision on marriage equality) actually came from a parody account.
E709,"No, a Texas woman did not claim she was raped by a large pig and became pregnant as a result."
E714,The 2012 Barack Obama presidential campaign distributed a button featuring a Confederate flag.
E717,"Did Dearborn's Chief of Police announce a curfew for the city during Ramadan, even for non-Muslims?"
E719,A gang member?died after trying to gold plate his genitals.
E722,Samsung has planted a secret microchip on their phone batteries to steal data from cell phone users.
E724,A Texarkana woman named Ashley Casey Martin prompted skepticism after claiming she was attacked at a Texas Walmart in a racially motivated incident.
E729,A social media meme accurately details?five aspects?of Jeb Bush's record on women's issues.
E730,"Today is the summer solstice, not an equinox. There's no magical property about today that relates to balancing eggs on their ends."
E731,Photographs depict a couple posing with a dolphin that died because the woman urinated in its blowhole.
E734,"Teenagers are daring one another to a 72-hour challenge (or ""Game of 72""), during which they disappear for several days."
E735,"John Hagee, founder of the Cornerstone Church, wants to prosecute women for saying?God's name during intercourse."
E740,"The?Korea Times newspaper accidentally congratulated the Chicago Bears, not the Chicago Blackhawks, on winning hockey's Stanley Cup."
E742,Can you really get free food at any Wendy's restaurant if you say you're lost and don't have any money?
E745,"Rachel Dolezal sued Howard University in 2002, claiming she had been discriminated against because she was white."
E753,"Golden Girls' actress Rue McClanahan died five years ago, but apparently some people are just hearing the news -- again."
E755,"Wrestler Dusty Rhodes died at the age of 69, but his cause of death is not yet known."
E756,"Christopher Lee, the actor who played some of cinema's biggest villains, has passed away at the age of 93."
E769,Senator Bill Nelson of Florida has urged that the Department of Homeland Security investigate the H-1B Visa program that allows U.S. employers to temporarily employ foreign workers in specialty occupations after media reports highlighted claims that Walt Disney World used the program to replace 250 American workers with Indian workers who were brought to the U.S. to take their jobs.
E775,Facebook user Terry Coffey's viral commentary on Caitlyn Jenner seemingly featured a remarkable coincidence.
E776,"Queen Elizabeth is not dead, but a BBC staffer's erroneous rehearsal tweet left many readers believing that she was."
E784,"An apartment flyer purportedly issued by a residential management company includes specific noise control instructions for ""African-American residents."""
E788,Did Jim Bob Duggar state during his 2002 U.S. Senate campaign that rape and Incest should be capital crimes?
E791,"President Barack Obama saluted Americans who died in battle on Memorial Day, saying the country must ""never stop trying to fully repay them"" for their sacrifices."
E19,"Burger King has ""bowed to Sharia law"" and will no longer serve bacon at their restaurants."
E35,Islamic State (ISIS) militants have killed at least 38 babies and children with disabilities or Down syndrome.
E45,"Middle Eastern men purchased dozens of burner cell phones at Walmarts in and around Lebanon, Missouri (ostensibly to carry out terror attacks); at the same time, multiple stores reported propane tank thefts."
E46,A rapist used a clown costume to hide in a child's room.
E61,Quoting the Bible will become illegal in Cincinnati as of 9 December 2015.
E68,USAF General Chuck Yeager wrote an essay endorsing Donald Trump for President.
E94,"A photograph shows a group of ""Syrian orphans"" holding guns."
E100,Donald Trump unveiled a new campaign logo that resembles a swastika.
E119,"Fox News reported that millions of people fled Texas after a ""pot rabbit plague"" resulted in dozens of deaths."
E131,ISIS plans to attack a WWE Wrestling event at?Philips Arena in Atlanta.
E145,Kohl's is giving Facebook users a coupon for 50 percent off any purchase for liking and sharing a status.
E211,Televangelist Pat Robertson said gay people should wear specific colors so they can be easily identified by straight people.
E216,The Triton Scuba Mask is a real product that allows?people to breathe underwater without the use of air tanks.
E225,Donald Trump plans to appoint a radio host who has spoken poorly of autistic children as NIH director.
E226,Steve Burns of Blue's Clues was killed in a car accident.
E230,"Facebook removed an image of ""Little Timmy"" saluting the United States flag because ""non-Americans"" found it offensive."
E255,The actor who played Jake in commercials for State Farm insurance was murdered by his wife.
E270,Discontinuation of in-school Halloween festivities at Seth Boyden Elementary school rapidly became a social media?controversy blamed on Muslims.
E274,"A British man burned a hole in his lung by vaping?(i.e., using e-cigarettes)."
E279,"A photograph documents the capture of a rare freshwater Marquette shark off the coast of Muskegon, Michigan."
E295,"Donald Trump said in 1998 that he would one day run as a Republican because they are the ""dumbest group of voters."""
E296,A photograph depicts a man who painted his lawn to look like an American flag because his homeowners' association wouldn't let him fly one.
E299,"No, a Harvard University study did not prove that areas with higher rates of gun ownership have lower crime rates."
E307,"The woman pictured here is a Brazilian model, not ""Captain Balislava, a Russian federation fighter pilot who bombed ISIS."""
E329,"A single glitch during a college football TV broadcast has been inflated into a claim that ESPN has applied a ""gag order"" to the on-air mention of God."
E360,"Consumers might want to be cautious of iOS 9's ""wi-fi assist"" feature, but it hasn't yet generated any $17,000 phone bills."
E367,"Walnuts, horse chestnuts, and the fruit from the Osage orange tree are commonly claimed to repel spiders, but evidence backing that up is lacking."
E369,"Unfortunately, the 'Nightmare Before Christmas' Happy Meal advertisement circulating on Facebook is a fan creation and not a real McDonald's promo."
E386,"Did Chipotle create a ""Never Forget 9/11"" add featuring two burritos in the place of the Twin Towers?"
E387,A number of misleading articles left readers with the impression that 'Duck Dynasty' star Sadie Robertson was gravely injured in an auto accident.
E397,"Irving, Texas, teenager Ahmed Mohamed was arrested and accused of creating a ""hoax bomb"" after bringing a home-assembled clock to school."
E401,"Photographs show a cache of weapons uncovered by the Coast Guard in Greece, disguised as furniture and headed for European refugee camps."
E432,Seriously? Nobody is using dogs' noses to make video game controllers. Not even Microsoft.
E460,"Staten Island residents reported a ""mystery stench"" on 28 August 2015."
E462,Don't believe everything you see in a meme. Even supposed quotes from gaffe-prone politicians.
E470,A homeless man found a baby with seven legs in a Dumpster following a botched abortion.
E481,Another manipulated photograph falsely attempts to link the Obamas with the notorious Black Panther party.
E489,"No, SeaWorld isn't drowning live elephants as part of a new attraction."
E492,Unoriginal fake news George Zimmerman has not been hired as a commentator by Fox News.
E503,A satirical meme about an Amish DMV worker refusing to issue driver's licenses has confused some social media users.
E516,A suggestive AccuWeather graphic (featuring what appeared to be a phallic stormfront) caused giggles on social media.
E531,"Fake news reports that rapper Meek Mill is the grandson of Martin Luther King, Jr."
E547,"Professional-wrestling icon ""Rowdy"" Roddy Piper has died at 61."
E550,Fake news reports that rapper Future was found dead in his studio from a codeine overdose.
E560,"A Facebook page was supposedly suspended for displaying a U.S. Marine Corps emblem, but that claim is shaky."
E634,A Christian pastor from Vermont was sent to jail for refusing to officiate a gay wedding.
E638,The U.S. government is not installing listening devices in packages of cigars. What these videos actually show are anti-theft systems.
E640,Some shocked McDonald's customers who bought Happy Meals for their kids said one of the Minions toys appears to utter an obscene phrase.
E649,"Nobel Prize winner Ivar Giaever said that President Obama was ""dead wrong"" on climate change during a speech at the 65th Nobel Laureate Meeting in Germany."
E655,"Sen. Dianne Feinstein said she is unsympathetic to veterans who experience symptoms of PTSD because they ""deserve"" it."
E656,A photograph shows a young Hillary Clinton posing with a Confederate flag visible in the background?
E671,Redditors are in an uproar after the sudden firing of employee Victoria Taylor (u/chooter).
E688,"An image of a purported Metropolitan Transit Authority (MTA) poster warning of ""Planned Service Changes"" involving a simulated gas attack is circulating on social media."
E692,A cartoon depicting the replacement of the Confederate flag with a gay pride flag published by the Southern Poverty Law Center was an amalgam of two separate works.
E694,"Venerable urban legend about a child abducted from a theme park by kidnappers who drug him, change his clothing, and cut his hair resurfaces in Malaysia."
E732,The Centers for Disease Control says that urine and sweat (not chlorine) are primarily responsible for eye irritations associated with swimming pools.
E66,A man killed 27 people after he underwent a heart transplant using an organ obtained from a serial killer.
E69,"A photograph documents a pro-ISIS rally held in Dearborn, Michigan, on 5 December 2015."
E77,The Centers for Disease Control have issued a warning concerning used condoms being repurposed as hairbands.
E104,Showtime announced in November 2015 that?the hit show Dexter would be returning for another season.
E138,Citizens of the United States have been banned from entering the Netherlands.
E177,Star Trek creator?Gene Roddenberry survived a plane crash in 1947.
E179,"President Obama has issued an executive order?granting a $2,350 dollar tax rebate?to every American who filed a tax return for 2014."
E182,A baby died at an unnamed medical facility because its parents refused to allow a black nurse to care for the child.
E198,A?video shows two men with jet packs flying alongside an Airbus 380 airliner.
E227,Starbucks is giving away free lifetime passes to Facebook users who like and share a post.
E253,Two photographs of the earth taken by?NASA in 1978 and 2012 document the dramatic effects of deforestation in North America.
E260,Jack Daniel's is giving away a limited number of free cases of whiskey to Facebook users who like and share a post.
E268,"People are displaying a poster threatening to withhold candy from trick-or-treaters wearing?""bigoted"" costumes such as a soldier, cop, or pirate."
E351,Viral police report claims a drunk Navy petty officer used a raccoon to bypass an ignition interlock system installed in his vehicle.
E403,A police officer reported that a barista at a Philadelphia Starbucks refused him access to the bathroom because he was a cop.
E409,Fake news headline reports all Dunkin Donuts locations are closing after the company filed for bankruptcy.
E444,"Did a young man named Jammal Longmire really threaten in a Facebook post to shoot police officers? Probably not, as he doesn't appear to exist."
E471,Burger King made a McWhopper of a proposal to McDonald's for celebrating the International Day of Peace.
E475,"The state of Florida did not pass a law legalizing nudity on all public beaches. A fake news site passed off the claim as a real news story, though."
E490,Did a black woman named Amelia Bassano really write all of the plays attributed to William Shakespeare?
E501,Yolanda Saldivar was found dead in prison.
E525,"Baseball player Adam LaRoche killed, but was not attacked by, a mountain lion."
E539,"Kermit the Frog and Miss Piggy have ended their relationship, both Muppets confirmed at a press conference."
E599,"Tales about Samuel Adams producing HeliYum, a helium-infused brand of beer, are April Fool's jokes."
E603,Fake news report falsely claims Caitlyn Jenner said that she looks more feminine than tennis star Serena Williams.
E610,Another celebrity death hoax Tool singer Maynard James Keenan is not dead.
E636,"Pastor John Piper said that women who ""groom their private parts"" are hurting God's work."
E644,"Three siblings in Oakland County, Michigan, have been sent to a juvenile facility after refusing to visit their their non-custodial father."
E705,Facebook user Luke Massie-Smith's response to a Walmart customer's lament over the discontinuation of the sale of the Confederate flag has gone viral.
E718,"A planet-changing comet will cause ""climate chaos"" on Earth between September 15-28, 2015."
E768,A controversy about armed police response to a pool party in Texas has erupted after footage of the incident was uploaded and shared on social media.
E36,"Cam Newton has been fined a total of $253, 552 for giving away footballs to fans."
E58,Muslims were banned from immigrating to the United States in 1952 under the provisions of the Immigration and Nationality Act.
E114,A Facebook coupon offering 50% off at Target stores is real.
E140,"Syrian refugees in Europe are complaining about a lack of TVs, food quality, and ""slow internet."""
E146,A photograph depicts Syrian refugees housed in U.S. luxury hotels while American veterans sleep on the street.
E168,"Facebook banned a user for 30 days because her use of the phrase ""God bless"" violated the social network's community standards."
E171,Cheap soy sauce is made from the hair of Chinese convicts.
E172,A man murdered his unfaithful fiancee and fed her remains to her unsuspecting parents at a barbeque.
E204,House Republicans will take 255 days off during 2016.
E290,Photographs show actress Betty White when she was in her 20s.
E328,"A grammar-checking website claimed Trump supporters possessed grammar skills that were lacking, but it wasn't really a ""study."""
E451,"A Kentucky county clerk, defying a new U.S. Supreme Court decision, has rejected requests for marriage licenses from two same-sex couples."
E476,Fake news reports that Chris Christie said that teachers should be paid minimum wage plus bonuses.
E493,"Rumors hold that Josh Duggar maintained an Ashley Madison account, and possibly an OKCupid profile."
E526,"Mr. Peebles might be the world's smallest Photoshopped cat, but he doesn't exist in the physical world."
E646,"Kentucky county clerk Kim Davis, who refused to issue any marriage licenses after the June 2015 U.S. Supreme Court marriage equality decision, has herself been married four times."
E678,"A ""now and then"" photograph show CSI actor Gary Dourdan before and after heavy drug use."
E716,"A viral article claims that scientists created a lab grown baby, but the article actually used photographs of a real-life preemie."
E723,"Readers ponder a November 2014 article reporting that British police were undertaking an effort to disarm the citizenry of ""pointy knives."""
E741,Do these?X-ray images document a man in China whose body became riddled with tapeworms due to his consumption of sashimi?
E20,The IKEA furniture chain is selling a swastika-shaped table.
E56,The legal drinking age has been raised to 23.
E64,A?Colorado woman comforted a teenaged Walmart cashier whose mother had committed suicide that morning.
E95,"The?federal government is currently paying people $3,000 per week to smoke weed as part of a study."
E197,A video shows the world's first wireless bungee jump.
E210,"Oprah Winfrey purchased the television channel BET for $800 million dollars, pledging to make it ""for black people again."""
E221,"By participating in a Facebook ""secret sister"" gift exchange, you'll receive 36 gifts (or books) in exchange for one $10 contribution."
E240,Hillary Clinton said?that she would?shut down the NRA and ban handguns if?she were elected President.
E269,A video uploaded to Facebook shows a woman stabbing?her baby to death to gain revenge on her boyfriend.
E289,"A ""female physician in Munich"" penned an alarming warning letter about refugees."
E322,"Residents of a condominium complex in Des Plaines, Illinois claimed hot dogs injected with rat poison were scattered on their lawn."
E341,"A fake news article duped some Twitter users into believing President Obama had ""suspended"" the Second Amendment."
E534,A news story about a man suing his bride immediately after their wedding for deceiving him by wearing makeup was a media hoax.
E549,A satirical article about mandatory divorce in the Army briefly alarmed some military spouses.
E580,"Welcome to my aquarium, says a smiling baby undulate ray. Maybe not."
E672,"Oregon's Bureau of Labor and Industries has ruled that the owners of the 'Sweet Cakes by Melissa' bakery must pay $135,000 in damages for refusing to serve a same-sex couple in 2013."
E673,Rumors are circulating that the FBI is preparing for a multi-city ISIS attack in the U.S. on July 4th.
